gene_id,feature_is_filtered,feature_name,feature_reference,feature_biotype,mean_expression,mean_log_expression
ENSG00000187642,FALSE,PERM1,NCBITaxon:9606,gene,0.012493690055527511,0.0083926456917271
ENSG00000272512,FALSE,RP11-54O7.17,NCBITaxon:9606,gene,0.02328369510348309,0.015327919080759698
ENSG00000188290,FALSE,HES4,NCBITaxon:9606,gene,0.9517604745078243,0.3995214495993794
ENSG00000187608,FALSE,ISG15,NCBITaxon:9606,gene,1.3449962140333165,0.4992926788845436
ENSG00000224969,FALSE,RP11-54O7.11,NCBITaxon:9606,gene,5.678950025239778e-4,3.754822408245663e-4
ENSG00000188157,FALSE,AGRN,NCBITaxon:9606,gene,0.17393361938414942,0.10590134788200277
ENSG00000273443,FALSE,RP11-54O7.18,NCBITaxon:9606,gene,5.047955577990914e-4,3.498976176476251e-4
ENSG00000237330,FALSE,RNF223,NCBITaxon:9606,gene,0.1189424533064109,0.061678420018531584
ENSG00000131591,FALSE,C1orf159,NCBITaxon:9606,gene,0.04905981827359919,0.03298291495938063
ENSG00000223823,TRUE,LINC01342,NCBITaxon:9606,gene,1.2619888944977284e-4,8.747440441190628e-5
ENSG00000272141,FALSE,RP11-465B22.8,NCBITaxon:9606,gene,0.019024482584553255,0.012657877969489162
ENSG00000205231,FALSE,TTLL10-AS1,NCBITaxon:9606,gene,0.0027763755678950025,0.0019062843180329273
ENSG00000162571,FALSE,TTLL10,NCBITaxon:9606,gene,0.02495583038869258,0.016672624282922318
ENSG00000186891,FALSE,TNFRSF18,NCBITaxon:9606,gene,0.10894119131751641,0.0574894678711987
ENSG00000186827,FALSE,TNFRSF4,NCBITaxon:9606,gene,0.26924533064109035,0.1284362386811268
ENSG00000078808,FALSE,SDF4,NCBITaxon:9606,gene,0.4654846037354871,0.27321309418252127
ENSG00000176022,FALSE,B3GALT6,NCBITaxon:9606,gene,0.113610550227158,0.07502160592000146
ENSG00000184163,FALSE,C1QTNF12,NCBITaxon:9606,gene,0.039563351842503786,0.024686826893835105
ENSG00000260179,FALSE,RP5-902P8.12,NCBITaxon:9606,gene,8.833922261484099e-4,6.123208308833436e-4
ENSG00000160087,FALSE,UBE2J2,NCBITaxon:9606,gene,0.25782433114588593,0.16431477116866328
ENSG00000230415,FALSE,LINC01786,NCBITaxon:9606,gene,5.678950025239778e-4,3.936348198535782e-4
ENSG00000162572,FALSE,SCNN1D,NCBITaxon:9606,gene,0.015270065623422514,0.010475487459666609
ENSG00000131584,FALSE,ACAP3,NCBITaxon:9606,gene,0.11124432104997475,0.07299965259453875
ENSG00000169972,FALSE,PUSL1,NCBITaxon:9606,gene,0.09707849570923775,0.06274503143084663
ENSG00000127054,FALSE,INTS11,NCBITaxon:9606,gene,0.2600012619888945,0.1634998605549135
ENSG00000224051,FALSE,CPTP,NCBITaxon:9606,gene,0.12080388692579505,0.07820065655683804
ENSG00000169962,FALSE,TAS1R3,NCBITaxon:9606,gene,0.0017352347299343766,0.0012027730606637105
ENSG00000107404,FALSE,DVL1,NCBITaxon:9606,gene,0.1210562847046946,0.07868062560421668
ENSG00000162576,FALSE,MXRA8,NCBITaxon:9606,gene,0.3161597677940434,0.15052599366166147
ENSG00000175756,FALSE,AURKAIP1,NCBITaxon:9606,gene,1.3239525492175668,0.6019312962914231
ENSG00000221978,FALSE,CCNL2,NCBITaxon:9606,gene,0.4384464916708733,0.2586786673754842
ENSG00000242485,FALSE,MRPL20,NCBITaxon:9606,gene,0.9021643109540636,0.4515365740867537
ENSG00000272455,FALSE,MRPL20-DT,NCBITaxon:9606,gene,0.006846289752650177,0.004736410149831417
ENSG00000235098,FALSE,ANKRD65,NCBITaxon:9606,gene,0.08531044926804644,0.05520938039062822
ENSG00000225905,TRUE,RP4-758J18.7,NCBITaxon:9606,gene,9.464916708732963e-5,6.56058033089297e-5
ENSG00000205116,TRUE,TMEM88B,NCBITaxon:9606,gene,9.464916708732963e-5,6.56058033089297e-5
ENSG00000225285,FALSE,LINC01770,NCBITaxon:9606,gene,0.003596668349318526,0.002483944236224826
ENSG00000179403,FALSE,VWA1,NCBITaxon:9606,gene,0.40307925290257446,0.2045156069509993
ENSG00000215915,FALSE,ATAD3C,NCBITaxon:9606,gene,0.07243816254416961,0.04690080786893872
ENSG00000160072,FALSE,ATAD3B,NCBITaxon:9606,gene,0.07092377587077234,0.047601534983988815
ENSG00000197785,FALSE,ATAD3A,NCBITaxon:9606,gene,0.07821176173649672,0.05221130461195769
ENSG00000205090,FALSE,TMEM240,NCBITaxon:9606,gene,0.004700908632004039,0.003249345274829007
ENSG00000160075,FALSE,SSU72,NCBITaxon:9606,gene,1.0961320040383644,0.5204650693228678
ENSG00000215014,FALSE,RP5-832C2.5,NCBITaxon:9606,gene,0.07773851590106007,0.049878956946838374
ENSG00000228594,FALSE,FNDC10,NCBITaxon:9606,gene,0.032748611812216055,0.02177297135172812
ENSG00000272106,FALSE,RP11-345P4.9,NCBITaxon:9606,gene,0.04401186269560828,0.029374959312352327
ENSG00000197530,FALSE,MIB2,NCBITaxon:9606,gene,0.16484729934376577,0.10739423061242281
ENSG00000189409,FALSE,MMP23B,NCBITaxon:9606,gene,0.05262493690055527,0.030505583259877116
ENSG00000248333,FALSE,CDK11B,NCBITaxon:9606,gene,0.21374936900555275,0.1336428127076327
ENSG00000272004,FALSE,RP11-345P4.10,NCBITaxon:9606,gene,0.0036597677940434126,0.0025367577279452845
ENSG00000189339,FALSE,SLC35E2B,NCBITaxon:9606,gene,0.07546693589096416,0.050082333146615685
ENSG00000008128,FALSE,CDK11A,NCBITaxon:9606,gene,0.15046062594649168,0.09750405939793988
ENSG00000215790,FALSE,SLC35E2A,NCBITaxon:9606,gene,0.07486749116607774,0.04837883205871044
ENSG00000008130,FALSE,NADK,NCBITaxon:9606,gene,0.1669926804644119,0.10712316368964955
ENSG00000078369,FALSE,GNB1,NCBITaxon:9606,gene,0.62105628470469465,0.34343707751861496
ENSG00000231050,FALSE,RP1-140A9.1,NCBITaxon:9606,gene,0.0017036850075719335,0.0011809044595607339
ENSG00000169885,FALSE,CALML6,NCBITaxon:9606,gene,0.0011357900050479556,7.781933501926499e-4
ENSG00000178821,FALSE,TMEM52,NCBITaxon:9606,gene,0.020097173144876326,0.013322087904462149
ENSG00000142609,FALSE,CFAP74,NCBITaxon:9606,gene,0.0017667844522968198,0.001224641661766687
ENSG00000233542,TRUE,RP11-547D24.1,NCBITaxon:9606,gene,9.464916708732963e-5,6.56058033089297e-5
ENSG00000187730,FALSE,GABRD,NCBITaxon:9606,gene,0.005174154467440686,0.0033250338092238253
ENSG00000226969,TRUE,RP11-547D24.3,NCBITaxon:9606,gene,2.839475012619889e-4,1.968174099267891e-4
ENSG00000067606,FALSE,PRKCZ,NCBITaxon:9606,gene,0.06508707723372034,0.043164316341076155
ENSG00000271806,FALSE,RP5-892K4.1,NCBITaxon:9606,gene,0.002871024734982332,0.001980966410856363
ENSG00000182873,FALSE,PRKCZ-AS1,NCBITaxon:9606,gene,0.002271580010095911,0.001574539279414313
ENSG00000162585,FALSE,FAAP20,NCBITaxon:9606,gene,0.7414815749621403,0.38270671169117
ENSG00000234396,TRUE,RP11-181G12.4,NCBITaxon:9606,gene,1.5774861181221605e-4,1.0934300551488283e-4
ENSG00000157933,FALSE,SKI,NCBITaxon:9606,gene,0.2353924785461888,0.14859122896073237
ENSG00000116151,FALSE,MORN1,NCBITaxon:9606,gene,0.02653331650681474,0.018073431467538474
ENSG00000157916,FALSE,RER1,NCBITaxon:9606,gene,0.783095658758203,0.418613506518315
ENSG00000157911,FALSE,PEX10,NCBITaxon:9606,gene,0.10812089853609289,0.0712520902326887
ENSG00000149527,FALSE,PLCH2,NCBITaxon:9606,gene,0.018740535083291265,0.012728380904614011
ENSG00000224387,TRUE,RP3-395M20.2,NCBITaxon:9606,gene,1.5774861181221605e-4,1.0934300551488283e-4
ENSG00000229393,TRUE,RP3-395M20.3,NCBITaxon:9606,gene,0,0
ENSG00000157881,FALSE,PANK4,NCBITaxon:9606,gene,0.034168349318526,0.023340440238338478
ENSG00000197921,FALSE,HES5,NCBITaxon:9606,gene,0.07161786976274609,0.03836668508538366
ENSG00000272449,FALSE,RP3-395M20.12,NCBITaxon:9606,gene,0.10682735991923271,0.06646357359351969
ENSG00000238164,FALSE,TNFRSF14-AS1,NCBITaxon:9606,gene,0.03994194851085311,0.027028440129249237
ENSG00000157873,FALSE,TNFRSF14,NCBITaxon:9606,gene,0.3994510348308935,0.2384945212751237
ENSG00000228037,FALSE,RP3-395M20.9,NCBITaxon:9606,gene,0.008234477536597678,0.005698628598362389
ENSG00000157870,FALSE,PRXL2B,NCBITaxon:9606,gene,0.07754921756688542,0.051511972512287195
ENSG00000142606,FALSE,MMEL1,NCBITaxon:9606,gene,0.04631499242806663,0.030928554378294365
ENSG00000237058,TRUE,MMEL1-AS1,NCBITaxon:9606,gene,9.464916708732963e-5,6.56058033089297e-5
ENSG00000215912,FALSE,TTC34,NCBITaxon:9606,gene,0.00343891973750631,0.0023201434936229053
ENSG00000283259,TRUE,ABC14-1188822O7.1,NCBITaxon:9606,gene,0,0
ENSG00000233234,TRUE,RP11-740P5.2,NCBITaxon:9606,gene,0,0
ENSG00000231630,TRUE,RP11-740P5.3,NCBITaxon:9606,gene,0,0
ENSG00000284745,TRUE,RP5-907A6.1,NCBITaxon:9606,gene,0,0
ENSG00000169717,TRUE,ACTRT2,NCBITaxon:9606,gene,0,0
ENSG00000177133,FALSE,PRDM16-DT,NCBITaxon:9606,gene,0.011389449772841998,0.007232393119243574
ENSG00000142611,FALSE,PRDM16,NCBITaxon:9606,gene,0.009370267541645633,0.006011075552493851
ENSG00000226286,TRUE,RP1-163G9.2,NCBITaxon:9606,gene,1.2619888944977284e-4,8.747440441190628e-5
ENSG00000272235,FALSE,RP11-22L13.1,NCBITaxon:9606,gene,6.625441696113075e-4,4.50164333648002e-4
ENSG00000130762,FALSE,ARHGEF16,NCBITaxon:9606,gene,0.029940686521958606,0.02010063438864886
ENSG00000272088,FALSE,RP11-168F9.2,NCBITaxon:9606,gene,3.785966683493185e-4,2.624232132357188e-4
ENSG00000162591,FALSE,MEGF6,NCBITaxon:9606,gene,0.031108026249369005,0.02076530745924642
ENSG00000238260,FALSE,RP11-46F15.2,NCBITaxon:9606,gene,0.001356638061585058,9.312735579134854e-4
ENSG00000158109,FALSE,TPRG1L,NCBITaxon:9606,gene,0.1358846542150429,0.08931243894586592
ENSG00000116213,FALSE,WRAP73,NCBITaxon:9606,gene,0.09808808682483594,0.0657950602676354
ENSG00000078900,FALSE,TP73,NCBITaxon:9606,gene,0.0018298838970217063,0.001237433973355158
ENSG00000227589,TRUE,TP73-AS3,NCBITaxon:9606,gene,6.309944472488642e-5,4.373720220595314e-5
ENSG00000235131,TRUE,TP73-AS2,NCBITaxon:9606,gene,1.8929833417465926e-4,1.312116066178594e-4
ENSG00000162592,FALSE,CCDC27,NCBITaxon:9606,gene,5.678950025239778e-4,3.845585303390723e-4
ENSG00000235169,FALSE,SMIM1,NCBITaxon:9606,gene,0.13058430085815245,0.07863822213705908
ENSG00000130764,FALSE,LRRC47,NCBITaxon:9606,gene,0.13859793033821302,0.09147039033797011
ENSG00000272153,FALSE,RP1-286D6.5,NCBITaxon:9606,gene,5.678950025239778e-4,3.936348198535782e-4
ENSG00000116198,FALSE,CEP104,NCBITaxon:9606,gene,0.09837203432609792,0.06512052360845678
ENSG00000169598,FALSE,DFFB,NCBITaxon:9606,gene,0.023157496214033315,0.015897256287838238
ENSG00000198912,FALSE,C1orf174,NCBITaxon:9606,gene,0.1451602725896012,0.09539894484101434
ENSG00000236423,FALSE,LINC01134,NCBITaxon:9606,gene,0.0024608783442705705,0.0017057508860321728
ENSG00000233304,TRUE,LINC01346,NCBITaxon:9606,gene,3.154972236244321e-5,2.186860110297657e-5
ENSG00000226374,TRUE,LINC01345,NCBITaxon:9606,gene,0,0
ENSG00000284668,TRUE,LINC02780,NCBITaxon:9606,gene,0,0
ENSG00000284703,FALSE,RP11-718D19.2,NCBITaxon:9606,gene,5.047955577990914e-4,3.498976176476251e-4
ENSG00000235054,TRUE,LINC01777,NCBITaxon:9606,gene,2.523977788995457e-4,1.7494880882381255e-4
ENSG00000284694,TRUE,RP5-1166F10.2,NCBITaxon:9606,gene,0,0
ENSG00000227169,TRUE,RP1-37J18.1,NCBITaxon:9606,gene,0,0
ENSG00000232596,TRUE,LINC01646,NCBITaxon:9606,gene,0,0
ENSG00000196581,FALSE,AJAP1,NCBITaxon:9606,gene,0.0024608783442705705,0.0016512931489451371
ENSG00000284739,TRUE,RP4-603B14.2,NCBITaxon:9606,gene,0,0
ENSG00000284674,TRUE,LINC02781,NCBITaxon:9606,gene,0,0
ENSG00000231510,TRUE,LINC02782,NCBITaxon:9606,gene,0,0
ENSG00000284616,TRUE,RP4-703E10.1,NCBITaxon:9606,gene,0,0
ENSG00000284692,TRUE,RP1-58B11.2,NCBITaxon:9606,gene,9.464916708732963e-5,6.56058033089297e-5
ENSG00000284666,TRUE,RP1-58B11.3,NCBITaxon:9606,gene,3.154972236244321e-5,2.186860110297657e-5
ENSG00000260972,TRUE,RP1-58B11.1,NCBITaxon:9606,gene,0,0
ENSG00000236948,TRUE,RP11-154H17.1,NCBITaxon:9606,gene,6.309944472488642e-5,4.373720220595314e-5
ENSG00000131697,FALSE,NPHP4,NCBITaxon:9606,gene,0.019119131751640584,0.013085283035068755
ENSG00000069424,FALSE,KCNAB2,NCBITaxon:9606,gene,0.0608909641595154,0.04040476465297025
ENSG00000116254,FALSE,CHD5,NCBITaxon:9606,gene,5.047955577990914e-4,3.498976176476251e-4
ENSG00000116251,FALSE,RPL22,NCBITaxon:9606,gene,10.997917718324079,1.9647847487717516
ENSG00000226944,FALSE,RNF207-AS1,NCBITaxon:9606,gene,0.007004038364462392,0.004809447997288276
ENSG00000158286,FALSE,RNF207,NCBITaxon:9606,gene,0.027069661786976274,0.018383699832111088
ENSG00000116237,FALSE,ICMT,NCBITaxon:9606,gene,0.11417844522968199,0.0750993856614436
ENSG00000225077,FALSE,LINC00337,NCBITaxon:9606,gene,0.004385411408379607,0.0022727686901000102
ENSG00000173673,TRUE,HES3,NCBITaxon:9606,gene,0,0
ENSG00000158292,FALSE,GPR153,NCBITaxon:9606,gene,0.014796819787985865,0.010012958345770945
ENSG00000097021,FALSE,ACOT7,NCBITaxon:9606,gene,0.031612821807168096,0.021465528342264
ENSG00000271746,FALSE,RP1-202O8.3,NCBITaxon:9606,gene,0.007635032811711257,0.005243103997273845
ENSG00000069812,FALSE,HES2,NCBITaxon:9606,gene,0.00776123170116103,0.005173817776174765
ENSG00000187017,FALSE,ESPN,NCBITaxon:9606,gene,0.03877460878344271,0.025212307545095673
ENSG00000231868,TRUE,RP1-202O8.2,NCBITaxon:9606,gene,9.464916708732963e-5,6.56058033089297e-5
ENSG00000215788,FALSE,TNFRSF25,NCBITaxon:9606,gene,0.1128849066128218,0.07120254032690916
ENSG00000171680,FALSE,PLEKHG5,NCBITaxon:9606,gene,0.018519687026754165,0.012606245587510658
ENSG00000162408,FALSE,NOL9,NCBITaxon:9606,gene,0.08464790509843513,0.056571443338279355
ENSG00000173662,FALSE,TAS1R1,NCBITaxon:9606,gene,9.149419485108531e-4,6.251131424718142e-4
ENSG00000204859,FALSE,ZBTB48,NCBITaxon:9606,gene,0.07546693589096416,0.05077248214392009
ENSG00000162413,FALSE,KLHL21,NCBITaxon:9606,gene,0.2518614336193841,0.1301464159329758
ENSG00000116273,FALSE,PHF13,NCBITaxon:9606,gene,0.11439929328621908,0.07193281731719778
ENSG00000041988,FALSE,THAP3,NCBITaxon:9606,gene,0.09259843513377082,0.06191359733752746
ENSG00000007923,FALSE,DNAJC11,NCBITaxon:9606,gene,0.06634906612821807,0.04469133118764265
ENSG00000228750,TRUE,LINC01672,NCBITaxon:9606,gene,1.2619888944977284e-4,6.56058033089297e-5
ENSG00000284744,FALSE,RP11-242F24.2,NCBITaxon:9606,gene,9.149419485108531e-4,6.341894319863202e-4
ENSG00000237436,FALSE,CAMTA1-DT,NCBITaxon:9606,gene,0.009401817264008077,0.006389775075483944
ENSG00000171735,FALSE,CAMTA1,NCBITaxon:9606,gene,1.3640206966178698,0.56840146443606
ENSG00000237365,TRUE,RP11-334N17.1,NCBITaxon:9606,gene,0,0
ENSG00000237728,TRUE,CAMTA1-AS2,NCBITaxon:9606,gene,9.464916708732963e-5,6.56058033089297e-5
ENSG00000225126,TRUE,CAMTA1-AS1,NCBITaxon:9606,gene,2.839475012619889e-4,1.968174099267891e-4
ENSG00000270171,FALSE,RP11-338N10.1,NCBITaxon:9606,gene,7.256436143361939e-4,5.029778253684611e-4
ENSG00000270035,FALSE,RP11-338N10.2,NCBITaxon:9606,gene,0.0010095911155981827,6.907189457807438e-4
ENSG00000269978,FALSE,RP11-338N10.3,NCBITaxon:9606,gene,0.0018929833417465926,0.0013121160661785935
ENSG00000049245,FALSE,VAMP3,NCBITaxon:9606,gene,0.33042024230186773,0.19657435265513912
ENSG00000049246,FALSE,PER3,NCBITaxon:9606,gene,0.17204063604240283,0.10905055237324206
ENSG00000236266,FALSE,RP3-467L1.4,NCBITaxon:9606,gene,2.523977788995457e-4,1.7494880882381255e-4
ENSG00000049247,FALSE,UTS2,NCBITaxon:9606,gene,0.0035335689045936395,0.0024220544549898603
ENSG00000049249,FALSE,TNFRSF9,NCBITaxon:9606,gene,0.0292781423523473,0.01629115852929414
ENSG00000116288,FALSE,PARK7,NCBITaxon:9606,gene,2.3496340232205957,0.9061060424514251
ENSG00000284747,FALSE,CTA-215D11.6,NCBITaxon:9606,gene,0.009875063099444725,0.006750393228012654
ENSG00000284716,FALSE,CTA-215D11.5,NCBITaxon:9606,gene,0.03994194851085311,0.026138974413969673
ENSG00000116285,FALSE,ERRFI1,NCBITaxon:9606,gene,0.9139008076728925,0.3508607814900609
ENSG00000238290,FALSE,RP11-431K24.1,NCBITaxon:9606,gene,0.02495583038869258,0.015939994034904845
ENSG00000227634,TRUE,LINC01714,NCBITaxon:9606,gene,1.8929833417465926e-4,1.312116066178594e-4
ENSG00000233645,FALSE,RP11-431K24.4,NCBITaxon:9606,gene,2.839475012619889e-4,1.8774112041228315e-4
ENSG00000162426,FALSE,SLC45A1,NCBITaxon:9606,gene,0.016058808682483595,0.010924007547948035
ENSG00000142599,FALSE,RERE,NCBITaxon:9606,gene,0.4899671882887431,0.2703990262140805
ENSG00000232912,FALSE,RERE-AS1,NCBITaxon:9606,gene,0.0020191822311963654,0.0013995904705905002
ENSG00000228423,TRUE,RP4-633I8.4,NCBITaxon:9606,gene,1.2619888944977284e-4,8.747440441190628e-5
ENSG00000074800,FALSE,ENO1,NCBITaxon:9606,gene,1.592535335689046,0.6603021006803311
ENSG00000230679,FALSE,ENO1-AS1,NCBITaxon:9606,gene,0.02075971731448763,0.014113534818249469
ENSG00000131686,FALSE,CA6,NCBITaxon:9606,gene,0.2759338717819283,0.07339846144966784
ENSG00000197241,TRUE,SLC2A7,NCBITaxon:9606,gene,6.309944472488642e-5,4.373720220595314e-5
ENSG00000142583,FALSE,SLC2A5,NCBITaxon:9606,gene,0.004606259464916709,0.003102052865889523
ENSG00000180758,FALSE,GPR157,NCBITaxon:9606,gene,0.08092503785966683,0.05252854160511892
ENSG00000228526,FALSE,MIR34AHG,NCBITaxon:9606,gene,0.005710499747602221,0.003930987931095247
ENSG00000234546,FALSE,LNCTAM34A,NCBITaxon:9606,gene,0.012430590610802626,0.008485444759295737
ENSG00000049239,FALSE,H6PD,NCBITaxon:9606,gene,0.09379732458354366,0.062184027871958196
ENSG00000171621,FALSE,SPSB1,NCBITaxon:9606,gene,0.1561711256940939,0.08979674474189599
ENSG00000284652,FALSE,CTD-2510L9.2,NCBITaxon:9606,gene,4.7324583543664815e-4,3.280290165446485e-4
ENSG00000284693,FALSE,LINC02606,NCBITaxon:9606,gene,0.0036597677940434126,0.002509528859401767
ENSG00000235263,TRUE,RP13-392I16.1,NCBITaxon:9606,gene,3.154972236244321e-5,2.186860110297657e-5
ENSG00000171612,FALSE,SLC25A33,NCBITaxon:9606,gene,0.37673523472993437,0.20090819156582113
ENSG00000188807,FALSE,TMEM201,NCBITaxon:9606,gene,0.035651186269560826,0.024241196436975282
ENSG00000171608,FALSE,PIK3CD,NCBITaxon:9606,gene,0.06357269056032307,0.04225197921630565
ENSG00000179840,FALSE,PIK3CD-AS1,NCBITaxon:9606,gene,6.625441696113075e-4,4.5924062316250795e-4
ENSG00000231789,FALSE,PIK3CD-AS2,NCBITaxon:9606,gene,0.06022841998990409,0.03847810795356015
ENSG00000171603,FALSE,CLSTN1,NCBITaxon:9606,gene,0.33385916203937405,0.19843952974940546
ENSG00000178585,FALSE,CTNNBIP1,NCBITaxon:9606,gene,0.3931726400807673,0.21423514557328022
ENSG00000223989,FALSE,RP11-84A14.5,NCBITaxon:9606,gene,9.780413932357396e-4,6.779266341922732e-4
ENSG00000162441,FALSE,LZIC,NCBITaxon:9606,gene,0.21097299343765774,0.13486516564770099
ENSG00000173614,FALSE,NMNAT1,NCBITaxon:9606,gene,0.04278142352347299,0.028816305152252635
ENSG00000162444,FALSE,RBP7,NCBITaxon:9606,gene,6.382477284199899,0.6239169460155934
ENSG00000130939,FALSE,UBE4B,NCBITaxon:9606,gene,0.11297955577990913,0.07371549127830729
ENSG00000054523,FALSE,KIF1B,NCBITaxon:9606,gene,0.24804391721352853,0.14926582300320407
ENSG00000284735,FALSE,RP4-736L20.4,NCBITaxon:9606,gene,0.0020822816759212518,0.0014433276727964534
ENSG00000284642,FALSE,RP4-736L20.5,NCBITaxon:9606,gene,0.0018298838970217063,0.0012593025744581344
ENSG00000142657,FALSE,PGD,NCBITaxon:9606,gene,0.17371277132761231,0.10880336716047094
ENSG00000271989,FALSE,RP4-736L20.3,NCBITaxon:9606,gene,3.470469459868753e-4,2.314783226182363e-4
ENSG00000251503,FALSE,CENPS-CORT,NCBITaxon:9606,gene,0.003975265017667844,0.002728214870431533
ENSG00000175279,FALSE,CENPS,NCBITaxon:9606,gene,0.04363326602725896,0.02922483966468592
ENSG00000241563,FALSE,CORT,NCBITaxon:9606,gene,0.002681726400807673,0.0018406785147239973
ENSG00000160049,FALSE,DFFA,NCBITaxon:9606,gene,0.15298460373548714,0.0989449464304954
ENSG00000203469,TRUE,RP5-1113E3.3,NCBITaxon:9606,gene,3.470469459868753e-4,2.314783226182363e-4
ENSG00000142655,FALSE,PEX14,NCBITaxon:9606,gene,0.059092629984856135,0.040013492052600574
ENSG00000130940,FALSE,CASZ1,NCBITaxon:9606,gene,0.22573826350328116,0.1263220474666043
ENSG00000272078,FALSE,RP4-734G22.3,NCBITaxon:9606,gene,9.780413932357396e-4,6.779266341922732e-4
ENSG00000175262,FALSE,C1orf127,NCBITaxon:9606,gene,9.149419485108531e-4,6.341894319863202e-4
ENSG00000120948,FALSE,TARDBP,NCBITaxon:9606,gene,0.29435890964159517,0.17128946590632577
ENSG00000009724,FALSE,MASP2,NCBITaxon:9606,gene,0.0010095911155981827,6.997952352952497e-4
ENSG00000116649,FALSE,SRM,NCBITaxon:9606,gene,0.6079000504795558,0.32389783564489566
ENSG00000171824,FALSE,EXOSC10,NCBITaxon:9606,gene,0.10663806158505805,0.07054973169296683
ENSG00000226849,FALSE,RP4-635E18.7,NCBITaxon:9606,gene,0.0010726905603230693,7.435324375012028e-4
ENSG00000230337,FALSE,EXOSC10-AS1,NCBITaxon:9606,gene,0.012367491166077738,0.008264225719552386
ENSG00000198793,FALSE,MTOR,NCBITaxon:9606,gene,0.05931347804139324,0.04002424819176545
ENSG00000225602,FALSE,MTOR-AS1,NCBITaxon:9606,gene,3.785966683493185e-4,2.624232132357188e-4
ENSG00000171819,FALSE,ANGPTL7,NCBITaxon:9606,gene,0.0018298838970217063,8.336182913837148e-4
ENSG00000120942,FALSE,UBIAD1,NCBITaxon:9606,gene,0.07950530035335689,0.052453968488700355
ENSG00000284646,TRUE,RP4-796F18.3,NCBITaxon:9606,gene,3.154972236244321e-5,2.186860110297657e-5
ENSG00000204624,FALSE,DISP3,NCBITaxon:9606,gene,0.0010411408379606259,7.216638363982263e-4
ENSG00000235643,TRUE,LINC01647,NCBITaxon:9606,gene,6.309944472488642e-5,4.373720220595314e-5
ENSG00000284708,FALSE,RP3-330O12.5,NCBITaxon:9606,gene,0.002050731953558809,0.0014214590716934768
ENSG00000116661,FALSE,FBXO2,NCBITaxon:9606,gene,0.09297703180212014,0.05528633770490451
ENSG00000132879,FALSE,FBXO44,NCBITaxon:9606,gene,0.11064487632508833,0.07289802311419388
ENSG00000116663,FALSE,FBXO6,NCBITaxon:9606,gene,0.0671693589096416,0.04486263518296012
ENSG00000116670,FALSE,MAD2L2,NCBITaxon:9606,gene,0.2066191317516406,0.13103344336227882
ENSG00000162490,FALSE,DRAXIN,NCBITaxon:9606,gene,0.004353861686017163,0.0028940873897408403
ENSG00000177674,FALSE,AGTRAP,NCBITaxon:9606,gene,0.38348687531549724,0.22676988016318428
ENSG00000215910,FALSE,C1orf167,NCBITaxon:9606,gene,0.024103987884906614,0.016184474941565934
